URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-4CQPpFP/0/c7434d9e/L/wing%20L.%20mellipes-L.jpg,,,100%,image-web,,"Forewing of <i>L. mellipes</i>, with arched basal vein",Lasioglossum,,,,,
# Halictus,,,,,,,,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/143044613/large.jpg,,,100%,image-web,,,Halictus,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/77124513/large.jpg,,,100%,image-web,,,Halictus,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/90483890/large.jpg,,,100%,image-web,,,Halictus,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/40494116/large.jpg,,,100%,image-web,,,Halictus,,,,,
# Agapo,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-HtS6MVN/0/8d87a214/L/0604205974-L.jpg,,,100%,image-web,,,Agapostemon,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-HtS6MVN/0/8d87a214/L/0604205974-L.jpg,,,100%,image-web,,,Agapostemon,,,,,
#Dufourea,,,,,,,,,,,,
resources/text/TaxonDufourea.html,,,100%,html-local,,"Description, abundance, diversity",Dufourea,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-fMS9prS/0/d9cbc76a/L/Exemplar Dufor-L.jpg,,,100%,image-web,,,Dufourea,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
# Sphecodes,,,,,,,,,,,,
resources/text/TaxonSphecodes.html,,,100%,html-local,,"Description, abundance, diversity",Sphecodes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Dtx2JQr/0/28c9b090/L/Sphecodes.Kingston-L.jpg,,,100%,image-web,,,Sphecodes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-kwcJcnZ/0/80af7e3f/O/08082111965.jpg,,,100%,image-web,,,Sphecodes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-tz3vD36/0/e247347e/L/wing%20Sphecodes%20MS21.01-L.jpg,,,100%,image-web,,Forewing of <i>Sphecodes</i>,Sphecodes,,,,,
#,,,,,,,,,,,,
# Andrena,,,,,,,,,,,,
resources/text/TaxonAndrena.html,,,100%,html-local,,"Description, abundance, diversity",Andrena,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-andrena/i-2CZ5HPh/0/9d5f2bbb/M/Andrena.MS21-I.IAE108143-M.jpg,,,100%,image-web,,,Andrena,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-andrena/i-522X6H2/0/527bdc05/M/Andrena prunorum.IAE 108774-M.jpg,,,100%,image-web,,,Andrena,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-andrena/i-nfhMnBF/0/4ff4b349/M/AndrenaMS21-G.IAE110485-M.jpg,,,100%,image-web,,,Andrena,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/76627637/large.jpg,,,100%,image-web,,,Andrena,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-VwdG7Xf/0/e46dc11a/X2/wing%20Andrena%20MS9-X2.jpg,,,100%,image-web,,Forewing of <i>Andrena</>,Andrena,,,,,
# Panurginus,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-GvcMQbw/0/2f0cdf11/M/panurginus.ankeny-M.jpg,,,100%,image-web,,,Panurginus,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-bt4LdQw/0/15679959/M/panurginus marginal-M.jpg,,,100%,image-web,,The truncate marginal vein distinguishes from <i>Andrena</i>,Panurginus,,,,,
resources/text/TaxonPanurginus.html,,,100%,html-local,,"Description, abundance, diversity",Panurginus,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-wNMrSg2/0/97e8e521/X4/wing%20Panurginus-X4.jpg,,,100%,image-web,,Forewing of <i>Panurginus</i>. Note truncate marginal cell,Panurginus,,,,,
# Eucera,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-BrN43Gg/0/bcb81c2d/L/melissodes.ankeny-L.jpg,,,100%,image-web,,,Eucera&Melissodes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Sj4H4tN/0/7041c1d8/M/melissodes.6-9-2021.jefferson-M.jpg,,,100%,image-web,,,Eucera&Melissodes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-dVCNC3z/0/f1d5f890/M/Eucera.4-22-21.Finley-M.jpg,,,100%,image-web,,,Eucera&Melissodes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-RQXpCkF/0/a60acf5b/O/062019_2804.jpg,,,100%,image-web,,,Eucera&Melissodes,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-P4XDNZ2/0/0a31d41d/X2/Eucera%20wing%20hairs-X2.jpg,,,100%,image-web,,Forewing of <i>Eucera</i>.,Eucera&Melissodes,,,,,
resources/text/TaxonEucera&Melissodes.html,,,100%,html-local,,"Description, abundance, diversity",Eucera&Melissodes,,,,,
# Ceratina,,,,,,,,,,,,
resources/text/TaxonCeratina.html,,,100%,html-local,,"Description, abundance, diversity",Ceratina,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/159643341/large.jpg,,,100%,image-web,,,Ceratina,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/91828037/original.jpg,,,100%,image-web,,,Ceratina,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/159643276/large.jpg,,,100%,image-web,,,Ceratina,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/42025496/large.jpg,,,100%,image-web,,,Ceratina,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-F5pvgwZ/0/8119035c/L/wing%20Ceratina-L.jpg,,,100%,image-web,,Forewing of <i>Ceratina</>,Ceratina,,,,,
#,,,,,,,,,,,,
# Bombus,,,,,,,,,,,,
resources/text/TaxonBombus.html,,,100%,html-local,,"Description, abundance, diversity",Bombus,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-PkWfJCP/0/3c6089e9/M/050319_715-M.jpg,,,100%,image-web,,,Bombus,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-XQtF4cH/0/ac7d2161/L/0528205690-L.jpg,,,100%,image-web,,,Bombus,,,,,
# Megachile,,,,,,,,,,,,
resources/text/TaxonMegachile.html,,,100%,html-local,,"Description, abundance, diversity",Megachile,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-B6dPPq2/0/8910c888/L/Megachile.brevis.lateral.IAE103511-L.jpg,,,100%,image-web,,,Megachile,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Megachile/i-Fkb2hWg/0/e82bc8e0/L/Megachile.perihirta.lateral.SW_20180705.05-L.jpg,,,100%,image-web,,,Megachile,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Megachile/i-Jzxr2Pv/0/6f52319b/M/0806191208-M.jpg,,,100%,image-web,,,Megachile,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-JChRBzq/0/be5b62b0/X2/wing%20Megachile%20pascoensis-X2.jpg,,,100%,image-web,,Forewing of <i>Megachile pascoensis</>,Megachile,,,,,
# Osmia,,,,,,,,,,,,
resources/text/TaxonOsmia.html,,,100%,html-local,,"Description, abundance, diversity",Osmia,,,,,
